,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
221,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,,
222,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
223,baby,baby,,,,,,,,,,,,,,,,,,,,,,
224,garden_tools,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
225,audio,audio,,,,,,,,,,,,,,,,,,,,,,
226,baby,fashion_shoes,,,,,,,,,,,,,,,,,,,,,,
227,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
228,cool_stuff,housewares,,,,,,,,,,,,,,,,,,,,,,
229,watches_gifts,audio,,,,,,,,,,,,,,,,,,,,,,
230,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,
231,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
232,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
233,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
234,home_appliances,home_appliances,,,,,,,,,,,,,,,,,,,,,,
235,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
236,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
237,toys,toys,,,,,,,,,,,,,,,,,,,,,,
238,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
239,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
240,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
241,housewares,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,
242,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
243,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
244,home_appliances,home_appliances,,,,,,,,,,,,,,,,,,,,,,
245,bed_bath_table,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
246,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
247,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
248,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
249,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
250,auto,auto,,,,,,,,,,,,,,,,,,,,,,
251,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
252,consoles_games,consoles_games,,,,,,,,,,,,,,,,,,,,,,
253,toys,toys,,,,,,,,,,,,,,,,,,,,,,
254,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
255,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
256,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
257,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
258,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
259,auto,auto,,,,,,,,,,,,,,,,,,,,,,
260,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
261,drinks,drinks,,,,,,,,,,,,,,,,,,,,,,
262,baby,housewares,,,,,,,,,,,,,,,,,,,,,,
263,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
264,bed_bath_table,baby,,,,,,,,,,,,,,,,,,,,,,
265,bed_bath_table,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,
266,food_drink,food_drink,,,,,,,,,,,,,,,,,,,,,,
267,small_appliances,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
268,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
269,electronics,electronics,,,,,,,,,,,,,,,,,,,,,,
270,fashion_male_clothing,fashion_male_clothing,,,,,,,,,,,,,,,,,,,,,,
271,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
272,housewares,housewares,housewares,housewares,housewares,housewares,,,,,,,,,,,,,,,,,,
273,perfumery,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
274,telephony,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
275,health_beauty,perfumery,,,,,,,,,,,,,,,,,,,,,,
276,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
277,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
278,toys,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
279,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,
280,auto,auto,,,,,,,,,,,,,,,,,,,,,,
281,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,
282,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
283,toys,toys,,,,,,,,,,,,,,,,,,,,,,
284,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
